"Параметр
размера
распределения 
Росина- Раммлера. м
"	"Параметр 
ширины 
распределения Росина - Раммлера"	"Диаметр 
представительных 
частиц. м
"	"Скорость
ввода 
завесного 
охлаждения.
м/с"	"Осевая компонента
скорости"	Радиальная компонента скорости	Тангенциальная компонента скорости	Средний диаметр Заутера. м	"Расходный комплекс. 
м/с"	Давление. Па			
0.0000542	11.33189	0.00013	1.452513	3.106326	1.288388	2.682739	0.000053	1279.212	769519			
0.0000621	9.9	0.000147	1	2.85	1.2	2.46	0.0000607	1272.651	765572			
0.0000542	8.468109	0.000163	1.947487	2.593674	1.111612	2.237261	0.0000531	1280.173	770097			
0.000078	7.036218	0.00018	1.205025	2.337348	1.023223	2.014523	0.0000768	1280.087	770045			
0.0000463	12.76378	0.000113	1.205025	3.362652	1.023223	2.014523	0.0000452	1281.185	770706			
0.0000621	18	0.000147	1.7	2.85	1.2	2.46	0.0000608	1271.998	765179			
0.0000542	11.33189	0.00013	1.947487	2.593674	1.111612	2.237261	0.000053	1280.436	770255			
0.0000846	9.9	0.000147	1.7	2.85	1.2	2.46	0.0000827	1300.123	782098			
0.0000701	11.33189	0.000163	1.947487	2.593674	1.111612	2.237261	0.0000685	1291.587	776963			
0.0000463	12.76378	0.00018	1.205025	2.337348	1.023223	2.014523	0.0000452	1291.369	776832			
0.0000542	8.468109	0.00013	1.947487	3.106326	1.288388	2.682739	0.0000531	1291.073	776654			
0.0000542	11.33189	0.00013	1.947487	3.106326	1.111612	2.682739	0.000053	1288.847	775315			
0.0000542	8.468109	0.00013	1.947487	3.106326	1.111612	2.237261	0.0000531	1293.568	778155			
0.000078	12.76378	0.00018	1.205025	2.337348	1.023223	2.905477	0.0000762	1291.008	776615			
0.0000621	9.9	0.000053	1.7	2.85	1.2	2.46	0.0000607	1295.856	779531			
0.0000701	8.468109	0.000163	1.452513	3.106326	1.288388	2.237261	0.0000687	1311.186	788753			
0.0000463	12.76378	0.000113	1.205025	3.362652	1.376777	2.905477	0.0000452	1297.767	780681			
0.0000621	9.9	0.000147	1.7	2.85	1.45	2.46	0.0000607	1286.741	774048			
0.0000701	8.468109	0.00013	1.947487	3.106326	1.288388	2.237261	0.0000687	1307.552	786567			
0.0000701	11.33189	0.000163	1.452513	3.106326	1.288388	2.682739	0.0000685	1302.055	783260			
0.0000463	7.036218	0.000113	1.205025	3.362652	1.023223	2.905477	0.0000456	1309.736	787881			
0.0000542	8.468109	0.00013	1.452513	2.593674	1.111612	2.237261	0.0000531	1313.156	789938			
0.0000463	12.76378	0.000113	1.205025	2.337348	1.376777	2.014523	0.0000452	1316.891	792185			
0.000078	7.036218	0.000113	1.205025	2.337348	1.023223	2.905477	0.0000768	1316.228	791786			
0.0000621	9.9	0.000147	1.7	2125	1.2	2.46	0.0000607	1310.609	788406			
0.0000463	7.036218	0.000113	1.205025	2.337348	1.376777	2.905477	0.0000456	1324.747	796911			
0.0000463	12.76378	0.00018	1.205025	3.362652	1.376777	2.014523	0.0000452	1331.789	801147			
0.0000701	8.468109	0.00013	1.452513	2.593674	1.288388	2.237261	0.0000687	1308.568	787178			
0.0000542	8.468109	0.00013	1.452513	3.106326	1.288388	2.237261	0.0000531	1326.523	797979			
0.0000621	9.9	0.000147	1.7	2.85	1.2	3.09	0.0000607	1320.488	794349			
0.0000463	7.036218	0.00018	1.205025	3.362652	1.376777	2.905477	0.0000456	1327.592	798622			
0.0000621	9.9	0.000147	1.7	2.85	1.2	3.72	0.0000607	1326.865	798185			
0.0000701	11.33189	0.000163	1.452513	2.593674	1.288388	2.237261	0.0000685	1214.733	730731			
0.0000701	11.33189	0.00013	1.452513	3.106326	1.288388	2.237261	0.0000685	1331.613	801041			
0.0000621	9.9	0.000147	1.7	1.4	1.2	2.46	0.0000607	1334.878	803005			
0.0000621	9	0.000147	1.7	1.4	1.2	2.46	0.0000608	1334.878	803005			
0.0000701	11.33189	0.000163	1.452513	2.593674	1.111612	2.682739	0.0000685	1342.799	807770			
0.0000397	9.9	0.000147	1.7	2.85	1.2	2.46	0.0000388	1342.837	807793			
0.0000542	8.468109	0.000163	1.452513	3.106326	1.288388	2.682739	0.0000531	1344.774	808958			
0.0000173	9.9	0.000147	1.7	2.85	1.2	2.46	0.0000169	1352.688	813719			
0.0000463	7.036218	0.000113	1.205025	3.362652	1.376777	2.014523	0.0000456	1354.191	814623			
0.000107	9.9	0.000147	1.7	2.85	1.2	2.46	0.000105	1357.162	816410			
0.000078	7.036218	0.00018	1.205025	3.362652	1.376777	2.014523	0.0000768	1355.323	815304			
0.000078	12.76378	0.000113	1.205025	3.362652	1.376777	2.014523	0.0000762	1363.394	820159			
0.0000621	1.8	0.000147	1.7	2.85	1.2	2.46	0.0000888	1361.043	818745			
0.0000701	11.33189	0.00013	1.947487	2.593674	1.111612	2.682739	0.0000685	1357.659	816709			
0.0000701	8.468109	0.000163	1.947487	2.593674	1.111612	2.682739	0.0000687	1374.355	826753			
0.0000542	11.33189	0.00013	1.452513	2.593674	1.288388	2.237261	0.000053	1270.598	764337			
0.0000542	11.33189	0.000163	1.947487	2.593674	1.111612	2.682739	0.000053	1377.442	828610			
0.000078	12.76378	0.000113	1.205025	2.337348	1.023223	2.014523	0.0000762	1378.209	829071			
0.0000463	7.036218	0.000113	1.205025	2.337348	1.023223	2.014523	0.0000456	1381.824	831246			
0.0000701	11.33189	0.000163	1.452513	3.106326	1.111612	2.237261	0.0000685	1305.368	785253			
0.0000542	8.468109	0.00013	1.947487	2.593674	1.111612	2.682739	0.0000531	1383.523	832268			
0.000078	12.76378	0.00018	1.205025	3.362652	1.023223	2.014523	0.0000762	1445.434	869511			
0.0000701	8.468109	0.000163	1.452513	3.106326	1.111612	2.682739	0.0000687	1309.161	787535			
0.000037	3.8	0.0001	1	3	1	3.1	0.0000387	1352.088	813358			
0.0000173	2.1	0.000147	1.7	2.85	1.2	2.46	0.0000223	1354.124	814583			
0.0000373	4	0.000147	2	2.85	1.2	2.46	0.0000387	1372.887	825870			
0.000038	2.1	0.000174	1.7	2.85	1.2	2.46	0.000049	1367.373	822553			
0.000021	2.31	0.0000847	1.7	2.85	1.2	2.46	0.0000258	1352.746	813754			
0.000031	1.8	0.00019	1.7	2.85	1.2	2.46	0.0000443	1354.211	814635			
0.000038	3.8	0.00007	1	3	0.3	3.1	0.0000398	1339.602	805847			
0.000014	1.08	0.0001	1	0.9	1	3.1	0.0000365	1428.422	859277			
0.000014	1.14	0.0001	1	0.9	1	3.1	0.0000334	1426.322	858014			
0.0000463	7.036218	0.00018	2.194975	2.337348	1.376777	2.905477	0.0000456	1204.637	724658			
0.0000463	12.76378	0.00018	2.194975	2.337348	1.376777	2.014523	0.0000452	1200.824	722364			
0.000078	7.036218	0.00018	2.194975	3.362652	1.023223	2.014523	0.0000768	1211.378	728713			
0.000078	7.036218	0.000113	2.194975	2.337348	1.376777	2.905477	0.0000768	1255.198	755073			
