"Параметрраспределения 
Росина -Раммлера м"	Параметр Ширины Росина - Раммлера	Осевая компонента 	"Радиальная 
компонента"	Тангенциальная компонента	Расходный комплекс. м/с	Давление. Па
0.000127	3.55	2.75	2.1	2.1	1759468	1058420
8.35e-05	4.27838	2.08107	2.1	2.1	1807293	1087190
1.02e-04	2.09322	4.08785	2.1	2.1	1793662	1078990
6.52e-05	3.55	1625	2.1	2.1	1763657	1060940
8.35e-05	4.27838	3.41892	2.1	2.1	1537209	924719
1.02e-04	5.00677	4.08785	2.1	2.1	1507513	906855
8.35e-05	2.82161	3.41892	2.1	2.1	1775559	1068100
6.52e-05	2325	2.75	2.1	2.1	1763623	1060920
1.02e-04	5.00677	1.41214	2.1	2.1	1793446	1078860
4.68e-05	2.82161	2.08107	2.1	2.1	1756775	1056800
6.52e-05	3.55	2.75	2.1	2.1	1722.38	1036110
2.84e-05	5.00677	1.41214	2.1	2.1	1793446	1078860
2.84e-05	2.09322	1.41214	2.1	2.1	1782026	1071990
6.52e-05	4775	2.75	2.1	2.1	1635803	984029
6.52e-05	6	2.75	2.1	2.1	1675569	1007950
4.68e-05	4.27838	2.08107	2.1	2.1	1777072	1069010
3.42e-05	3.55	2.75	2.1	2.1	1725456	1037960
6.52e-05	3.55	3875	2.1	2.1	1758919	1058090
4.68e-05	4.27838	3.41892	2.1	2.1	1727301	1039070
4.68e-05	2.82161	3.41892	2.1	2.1	1747898	1051460
2.84e-05	2.09322	4.08785	2.1	2.1	1665013	1001600
6.52e-05	3.55	5	2.1	2.1	1720.17	1034780
2.84e-05	5.00677	4.08785	2.1	2.1	1654503	995278
